zone,year,month,hours_in_month,price_eur_mwh,temp_c,flow_denmark_gw,flow_finland_gw,flow_germany_gw,flow_lithuania_gw,flow_norway_gw,flow_poland_gw,flow_sum_gw,cross_border_trading_mw,nuclear_mw,fossil_gas_mw,hydro_reservoir_mw,other_mw,wind_onshore_mw,solar_mw,load_mw,residual_load_mw,renewable_share_load_pct,renewable_share_generation_pct,conventional_thermal_power_net_gwh,electricity_gas_heat_and_water_plants_gwh,hydro_power_including_pump_power_net_gwh,losses_gwh,mining_and_manufacturing_gwh,nuclear_power_condensing_net_gwh,other_residential_sector_services_etc_gwh,railways_trams_and_bus_traffic_gwh,solar_power_on_grid_gwh,total_production_gwh,total_usage_gwh,wind_power_gwh,net_position_gwh
SE2,2022,5,735,55.35080272108845,7.499999999999999,-1.1164843537414968,-1.4532367346938768,-0.34110204081632634,-0.4838244897959182,0.09151700680272107,-0.45467482993197245,-3.757759183673469,-3882.1968707482984,5082.603401360544,0.15850340136054433,7029.989795918369,869.8212244897962,3663.153197278912,168.86802721088435,13352.510204081633,9520.489659863948,81.65523809523812,64.44721088435374,250.0,23.0,3029.0,226.0,619.0,0.0,406.0,21.0,13.0,4517.0,1295.0,1225.0,3222.0
SE2,2022,6,705,48.166397163120585,13.678723404255319,-1.161621276595745,-2.0780496453900703,-0.2723971631205675,-0.5975219858156033,0.8384099290780143,-0.4428907801418439,-3.7140411347517723,-3811.8997163120557,5101.451063829787,0.17432624113475248,7480.577304964539,561.0787234042551,2562.4260992907803,196.24212765957452,12634.670921985815,9876.001418439719,81.7255319148936,64.30851063829788,216.0,23.0,3236.0,210.0,608.0,0.0,315.0,20.0,14.0,4298.0,1176.0,832.0,3122.0
SE2,2022,7,721,21.370693481276007,13.20748959778086,-1.5770970873786412,-2.3517739251040233,-0.4390804438280168,-0.7047156726768381,0.23791400832177556,-0.5743966712898753,-5.409066574202496,-5395.002080443827,5501.848127600555,0.14646324549237183,7616.228848821082,453.49195561719824,3007.509847434119,188.94535367545072,11799.267683772538,8602.813730929267,92.14868238557558,64.43703190013869,206.0,23.0,3421.0,235.0,568.0,0.0,354.0,19.0,12.0,4705.0,1199.0,1066.0,3506.0
SE2,2022,8,734,49.76408719346048,14.169073569482286,-1.3295980926430517,-2.0223719346049047,-0.42848637602179857,-0.6835449591280658,0.3015994550408718,-0.5763814713896465,-4.738797002724797,-4722.805040871933,5704.510899182561,1.4850136239782041,7790.212534059944,493.59373297002765,2560.997138964577,168.55490463215259,12345.730245231607,9616.177111716619,85.7527247956403,62.80122615803811,214.0,24.0,2990.0,239.0,595.0,0.0,349.0,20.0,12.0,4049.0,1227.0,833.0,2822.0
SE2,2022,9,712,93.46853932584273,8.802668539325845,-0.49053792134831464,-1.4033117977528096,-0.366002808988764,-0.6249564606741577,-0.4405056179775281,-0.20478651685393245,-3.5301109550561796,-3433.5289325842696,4677.738764044944,0.842275280898875,7943.6811797752825,672.2594101123598,2752.884971910113,103.48117977528086,13057.405898876405,10201.042696629216,82.96516853932584,66.77176966292139,187.0,25.0,2866.0,231.0,572.0,0.0,400.0,21.0,8.0,3827.0,1249.0,766.0,2578.0
SE2,2022,10,736,49.37960597826087,5.763315217391304,-0.708529891304348,-1.6133532608695653,-0.3612866847826087,-0.5914891304347829,-0.6674850543478259,-0.40846467391304264,-4.350732336956523,-4248.460190217391,5256.599184782609,0.18641304347826132,6602.834510869564,706.5630434782607,4514.092391304348,43.21345108695653,13105.138586956522,8547.832608695655,85.573097826087,65.07622282608695,173.0,27.0,2815.0,226.0,584.0,0.0,470.0,22.0,5.0,4487.0,1329.0,1494.0,3158.0
SE2,2022,11,705,111.19731914893617,0.0836879432624103,-0.5213801418439716,-2.337144680851064,-0.36978723404255304,-0.5508439716312057,1.1211929078014182,-0.5502808510638297,-3.2081063829787237,-3354.817730496454,5586.812765957447,0.2104964539007097,8755.160567375882,1060.5148936170212,3255.0992907801424,8.669078014184395,15763.30780141844,12499.536595744677,77.17035460992909,64.26056737588654,186.0,37.0,3451.0,236.0,608.0,0.0,564.0,23.0,0.0,4344.0,1468.0,707.0,2876.0
SE2,2022,12,734,188.03516348773843,-6.564032697547681,-0.12964168937329704,-1.4279455040871933,-0.10206675749318803,-0.5031403269754767,0.5545980926430518,-0.2639972752043596,-1.8721648501362402,-2042.8464577656675,5352.291553133515,1.188147138964578,8827.025068119889,1621.811989100818,4149.542098092644,3.236512261580382,18299.374659400546,14146.597411444145,71.44523160762945,64.90640326975478,214.0,50.0,3522.0,288.0,613.0,0.0,789.0,26.0,0.0,5004.0,1766.0,1268.0,3238.0
SE2,2023,1,730,62.94775342465753,-4.522328767123286,-0.5361301369863014,-1.187146575342466,-0.28565616438356173,-0.5412972602739725,-0.45661643835616444,-0.4785630136986301,-3.4854095890410965,-3661.911369863014,5785.5191780821915,0.20534246575342502,8208.004383561643,1262.1365753424652,5402.215890410959,6.063150684931505,17641.63698630137,12233.359315068492,77.1853424657534,65.5660273972603,256.0,54.0,2886.0,272.0,631.0,0.0,699.0,26.0,0.0,4783.0,1682.0,1641.0,3101.0
SE2,2023,2,664,46.29703313253012,-2.6198795180722896,-0.9573448795180718,-1.7720015060240963,-0.4123147590361449,-0.6034728915662653,-0.18198795180722893,-0.5075753012048195,-4.434623493975907,-4281.264156626506,5744.993975903614,0.725150602409636,8629.404969879515,1279.8775602409637,5867.1670180722895,31.80120481927712,17605.859939759037,11706.890512048196,82.92936746987957,67.3292168674699,259.0,49.0,2763.0,253.0,586.0,0.0,620.0,24.0,3.0,4900.0,1532.0,1875.0,3368.0
SE2,2023,3,734,50.26628065395095,-5.357901907356949,-0.40269482288828334,-1.1761239782016348,-0.3063283378746593,-0.42461852861035404,-0.593734332425068,-0.4654291553133515,-3.3688514986376012,-3397.9046321525884,5411.389645776567,0.12792915531335214,8806.672479564033,1311.1245231607625,4527.254495912806,76.68337874659402,17311.877384196185,12707.93651226158,77.59400544959132,66.37043596730246,299.0,52.0,3207.0,251.0,635.0,0.0,690.0,26.0,6.0,4872.0,1654.0,1360.0,3218.0
SE2,2023,4,707,58.47200848656291,1.7782178217821782,-0.9221980198019796,-0.49708628005657707,-0.4519957567185292,-0.36299151343705816,-0.6236379066478077,-0.5171951909476664,-3.3750664780763797,-3264.9404526166895,5822.124328147101,0.3537482319660522,7617.604384724183,998.7595473833096,2866.2033946251763,187.49646393210745,14571.933521923622,11518.234087694487,73.36053748231966,60.95346534653461,263.0,38.0,2619.0,194.0,586.0,0.0,535.0,21.0,13.0,3690.0,1374.0,795.0,2316.0
SE2,2023,5,734,24.95311989100817,7.628337874659402,-0.6481117166212533,-0.2642643051771116,-0.29773978201634876,-0.5850136239782014,-1.0397098092643058,-0.49697138964577614,-3.3316743869209806,-3366.455585831062,4265.61348773842,0.3282016348773847,6783.579019073571,696.1286103542233,3422.321525885557,334.82683923705724,12542.24795640327,8785.097411444145,84.29768392370576,68.03297002724796,254.0,25.0,2622.0,226.0,591.0,0.0,395.0,21.0,23.0,4061.0,1258.0,1162.0,2803.0
SE2,2023,6,709,44.264753173483776,14.015655853314525,-1.1574090267983075,-0.46310578279266573,-0.1519858956276446,-0.6462087447108608,0.6167644569816643,-0.48185613540197486,-2.2838349788434407,-2218.867559943583,4820.359238363893,0.167559943582511,5438.848942172074,471.9385049365304,2624.0918194640335,366.51875881523284,11925.38293370945,8934.769252468262,70.68533145275036,60.91311706629053,193.0,24.0,1943.0,164.0,577.0,0.0,335.0,19.0,21.0,3105.0,1118.0,948.0,1987.0
SE2,2023,7,729,32.01633744855968,13.790534979423866,-1.2068010973936902,-0.9962620027434843,-0.42683401920438946,-0.6985610425240072,0.8830946502057611,-0.5236707818930044,-2.9690329218107006,-2986.1299039780515,4874.7525377229085,0.10507544581618666,5045.000823045267,414.6385459533605,2864.6519890260633,284.5670781893004,11019.474622770918,7870.258436213991,74.24293552812074,60.33593964334706,198.0,24.0,1693.0,117.0,534.0,0.0,388.0,18.0,17.0,2585.0,1081.0,677.0,1504.0
SE2,2023,8,736,19.99828804347826,13.73451086956522,-1.4280339673913045,-0.6164932065217393,-0.46430842391304317,-0.7061942934782626,0.4898057065217388,-0.5393817934782623,-3.2644823369565237,-3285.2112771739125,4511.007065217392,0.17445652173913045,7287.275951086958,369.0447010869563,2502.479211956522,195.76983695652171,12099.820652173914,9401.571059782613,82.86508152173917,66.97676630434782,191.0,26.0,2713.0,179.0,576.0,0.0,350.0,19.0,12.0,3671.0,1150.0,755.0,2521.0
SE2,2023,9,702,9.287962962962968,11.363817663817667,-1.0239786324786322,-0.5745142450142449,-0.34870370370370407,-0.2051652421652421,-0.06804843304843292,-0.5347236467236468,-2.7550341880341875,-2704.050997150997,3992.2207977207977,0.6317663817663816,6072.894301994303,355.2971509971509,4162.483618233618,194.6606837606837,12548.766381766382,8191.615099715101,83.24928774928775,70.3314814814815,146.0,30.0,2406.0,150.0,585.0,0.0,328.0,20.0,10.0,3918.0,1113.0,1356.0,2805.0
SE2,2023,10,729,15.100425240054868,1.53360768175583,-1.1544622770919064,-1.0408834019204387,-0.5209327846364883,-0.5749684499314129,-0.3129698216735255,-0.2837215363511657,-3.8877860082304534,-3965.805212620028,5411.137174211248,0.2803840877914958,7913.055418381347,486.0979423868312,4520.471604938271,80.36611796982166,15002.582990397805,10401.740054869684,83.90233196159122,67.93278463648832,141.0,48.0,3283.0,200.0,595.0,0.0,516.0,23.0,5.0,4573.0,1382.0,1144.0,3191.0
SE2,2023,11,707,53.00545968882601,-6.129278642149929,-0.7232164073550211,-1.3478613861386137,-0.3231966053748232,-0.7050042432814715,-0.2894285714285712,-0.32493635077793476,-3.713455445544555,-3880.068458274399,6608.019801980198,0.395756718528995,9498.015841584156,1111.9162659123056,3960.003677510609,15.466053748231955,17766.390381895333,13790.918528995757,76.10678925035359,63.27072135785012,245.0,50.0,3642.0,256.0,611.0,0.0,702.0,25.0,0.0,5086.0,1644.0,1199.0,3442.0
SE2,2023,12,732,64.32766393442621,-9.052049180327867,0.16862295081967218,-1.4911325136612021,0.04920491803278685,-0.6199795081967213,-0.4103688524590163,-0.05298633879781421,-2.356655737704918,-2620.657650273224,6646.9098360655735,0.13524590163934394,9125.167213114757,1220.1657103825135,4107.9948087431685,4.537021857923498,19065.390710382515,14952.854644808745,69.70601092896173,62.456010928961746,292.0,60.0,3418.0,250.0,609.0,0.0,850.0,26.0,0.0,4623.0,1795.0,913.0,2828.0
SE2,2024,1,736,54.38652173913043,-7.593478260869564,-0.10383016304347824,-1.1343872282608694,-0.08609646739130437,-0.6469877717391312,-0.591773097826087,-0.15337092391304347,-2.7163355978260877,-2890.0069293478255,6195.690217391304,0.6866847826086943,8919.347961956526,1095.9940217391309,6393.902717391304,9.512907608695638,20323.466032608696,13920.051902173916,75.81385869565217,67.52826086956524,261.0,58.0,3201.0,293.0,640.0,0.0,839.0,27.0,0.0,5306.0,1856.0,1843.0,3450.0
SE2,2024,2,682,41.33532258064516,-5.410703812316712,-0.7720205278592372,-0.7432316715542521,-0.26220234604105563,-0.6968665689149564,-0.7300571847507336,-0.4015777126099705,-3.605878299120235,-3636.7743401759526,6678.759237536657,0.4134897360703809,8647.787976539586,960.8954545454549,5619.461583577711,32.05307917888565,18880.233137829913,13228.718328445748,76.15571847507333,65.02551319648096,263.0,37.0,2988.0,252.0,613.0,0.0,725.0,24.0,2.0,4882.0,1651.0,1629.0,3231.0
SE2,2024,3,737,50.27641791044776,-0.8409769335142473,-0.9564165535956582,-1.4659511533242875,-0.2674911804613295,-0.4942781546811396,-0.38970827679782893,-0.35756852103120734,-3.931417910447761,-4069.9579375848043,6468.867028493894,0.3681139755766621,8851.667842605153,1093.6402985074626,3662.0366350067857,118.4531886024423,16772.671641791047,12992.18005427408,75.37381275440978,62.1776119402985,277.0,34.0,3057.0,210.0,624.0,0.0,660.0,24.0,7.0,4326.0,1552.0,985.0,2774.0
SE2,2024,4,706,44.067535410764876,1.33371104815864,-0.575114730878187,-1.2645793201133146,-0.14842492917847028,-0.467029745042493,-0.3674220963172805,-0.283009915014164,-3.1055141643059496,-3201.9155807365437,5276.264872521247,0.32110481586402273,7635.2984419263485,944.4658640226631,3835.851558073655,217.02025495750712,15308.202549575071,11255.330028328606,76.87620396600565,65.171388101983,249.0,30.0,2564.0,160.0,606.0,0.0,556.0,22.0,14.0,3875.0,1373.0,1047.0,2502.0
